Symbol,Description                                   ,Stock Exchange
AAIT,AC Asia Information Tech MSCI Ishares         ,NYSE
AAL,American Airlines Group Inc.                  ,NYSE
AAME,Atlantic American Corp                        ,NYSE
AAOI,Applied Optoelectronics Inc                   ,NYSE
AAON,Aaon Inc                                      ,NYSE
AAPL,Apple Inc                                     ,NYSE
AAVL,Avalanche Biotechnologies Inc.                ,NYSE
AAWW,Atlas Air Worldwide Holdings                  ,NYSE
AAXJ,All Country Asia Ex Jpn Idx MSCI Ishares      ,NYSE
ABAC,Aoxin Tianli Group Inc.                       ,NYSE
ABAX,Abaxis Inc                                    ,NYSE
ABCB,Ameris Bancorp                                ,NYSE
ABCD,Cambium Learning Group                        ,NYSE
ABCO,The Advisory Board Company                    ,NYSE
ABCW,Anchor Bancorp Wisconsin Inc                  ,NYSE
ABDC,Alcentra Capital Corp.                        ,NYSE
ABGB,Abengoa S.A.                                  ,NYSE
ABIO,Arca Biopharma                                ,NYSE
ABMD,Abiomed                                       ,NYSE
ABTL,Autobytel Inc                                 ,NYSE
ABY,Abengoa Yield Plc                             ,NYSE
ACAD,Acadia Pharmaceuticals Inc                    ,NYSE
ACAS,American Capital                              ,NYSE
ACAT,Arctic Cat Inc                                ,NYSE
ACET,Aceto Corp                                    ,NYSE
ACFC,Atlantic Coast Federal Corp                   ,NYSE
ACFN,Acorn Energy                                  ,NYSE
ACGL,Arch Capital Group Ltd                        ,NYSE
ACHC,Acadia Healthcare Company Inc                 ,NYSE
ACHN,Achillion Pharmaceuticals                     ,NYSE
ACIW,Aci Worldwide                                 ,NYSE
ACLS,Axcelis Technologies                          ,NYSE
ACNB,Acnb Corp                                     ,NYSE
ACOR,Acorda Therapeutics                           ,NYSE
ACPW,Active Power                                  ,NYSE
ACRX,Acelrx Pharmaceuticals                        ,NYSE
ACSF,American Capital Senior Floatin               ,NYSE
ACST,Acasti Pharma Inc                             ,NYSE
ACTA,Actua Corporation                             ,NYSE
ACTG,Acacia Research Corp                          ,NYSE
ACTS,Actions Semiconductor Co.                     ,NYSE
ACUR,Acura Pharmaceuticals                         ,NYSE
ACWI,ACWI Index MSCI Ishares                       ,NYSE
ACWX,ACWI Ex-US Index MSCI Ishares                 ,NYSE
ACXM,Acxiom Corp                                   ,NYSE
ADAT,Authentidate Holding                          ,NYSE
ADBE,Adobe Systems Incorporated                    ,NYSE
ADEP,Adept Technology                              ,NYSE
ADHD,Alcobra Ltd                                   ,NYSE
ADI,Analog Devices                                ,NYSE
ADMA,Adma Biologics                                ,NYSE
ADMP,Adamis Pharmaceuticl                          ,NYSE
ADMS,Adamas Pharmaceuticals Inc.                   ,NYSE
ADNC,Audience Inc                                  ,NYSE
ADP,Automatic Data Processing                     ,NYSE
ADRA,Asia 50 ADR Index Bldrs                       ,NYSE
ADRD,Dev Mkts 100 ADR Index Bldrs                  ,NYSE
ADRE,Emrg Mkts 50 ADR Index Bldrs                  ,NYSE
ADRU,Europe 100 ADR Index Bldrs                    ,NYSE
ADSK,Autodesk Inc                                  ,NYSE
ADTN,Adtran Inc                                    ,NYSE
ADUS,Addus Homecare Corp                           ,NYSE
ADVS,Advent Software                               ,NYSE
ADXS,Advaxis Inc                                   ,NYSE
ADXSW,Advaxis Inc                                   ,NYSE
AEGN,Aegoin Corp                                   ,NYSE
AEGR,Aegerion Pharmaceuticals                      ,NYSE
AEHR,Aehr Test Systems                             ,NYSE
AEIS,Advanced Energy Industries                    ,NYSE
AEPI,AEP Industries Inc                            ,NYSE
AERI,Aerie Pharmaceuticals Inc                     ,NYSE
AETI,American Electric Technologies                ,NYSE
AEY,Addvantage Technologies Group                 ,NYSE
AEZS,Aeterna Zentaris                              ,NYSE
AFAM,Almost Family Inc                             ,NYSE
AFCB,Athens Bancshares Corp                        ,NYSE
AFFX,Affymetrix                                    ,NYSE
AFH,Atlas Financial Holdings Inc                  ,NYSE
AFMD,Affimed Therapeutics B.V.                     ,NYSE
AFOP,Alliance Fiber Optic Products                 ,NYSE
AFSI,Amtrust Financial Services                    ,NYSE
AGEN,Agenus Inc                                    ,NYSE
AGII,Argo Group International Holdings Ltd         ,NYSE
AGIIL,Argo Group International Holdin               ,NYSE
AGIO,Agios Pharmaceuticals Inc                     ,NYSE
AGNC,American Capital Agency                       ,NYSE
AGNCB,American Capital Agency Corp.                 ,NYSE
AGNCP,American Capital                              ,NYSE
AGND,Wisdomtree Barclays U.S. Aggreg               ,NYSE
AGRX,Agile Therapeutics Inc                        ,NYSE
AGTC,Applied Genetic Technologies Co               ,NYSE
AGYS,Agilysys Inc                                  ,NYSE
AGZD,Wisdomtree Barclays U.S. Aggreg               ,NYSE
AHGP,Alliance Holdings Gp L.P.                     ,NYSE
AHPI,Allied Healthcare Products                    ,NYSE
AIMC,Altra Holdings                                ,NYSE
AINV,Apollo Investment Corp                        ,NYSE
AIQ,Alliance Healthcare Services                  ,NYSE
AIRM,Air Methods Corp                              ,NYSE
AIRR,First Trust Rba American Indust               ,NYSE
AIRT,Air T Inc                                     ,NYSE
AIXG,Aixtron Se                                    ,NYSE
AKAM,Akamai Technologies                           ,NYSE
AKAO,Achaogen Inc                                  ,NYSE
AKBA,Akebia Therapeutics Inc.                      ,NYSE
AKER,Akers Biosciences                             ,NYSE
AKRX,Akorn Inc                                     ,NYSE
ALCO,Alico Inc                                     ,NYSE
ALDR,Alder Biopharmaceuticals Inc                  ,NYSE
ALDX,Aldeyra Therapeutics Inc.                     ,NYSE
ALGN,Align Technology                              ,NYSE
ALGT,Allegiant Travel Company                      ,NYSE
ALIM,Alimera Sciences                              ,NYSE
ALKS,Alkermes Plc                                  ,NYSE
ALLB,Alliance Bank                                 ,NYSE
ALLT,Allot Communications Ltd                      ,NYSE
ALNY,Alnylam Pharmaceuticals                       ,NYSE
ALOG,Analogic Corp                                 ,NYSE
ALOT,Astro-Med                                     ,NYSE
ALQA,Alliqua Inc                                   ,NYSE
ALSK,Alaska Communications Systems                 ,NYSE
ALTR,Altera Corp                                   ,NYSE
ALXA,Alexza Pharmaceuticals                        ,NYSE
ALXN,Alexion Pharmaceuticals                       ,NYSE
AMAG,Amag Pharmaceuticals                          ,NYSE
AMAT,Applied Materials                             ,NYSE
AMBA,Ambarella Inc                                 ,NYSE
AMBC,Ambac Financial Group Inc                     ,NYSE
AMBCW,Ambac Financial Group Inc                     ,NYSE
AMCC,Applied Micro Circuits Corp                   ,NYSE
AMCF,Andatee China Marine Fuel Services            ,NYSE
AMCN,Airmedia Group Inc                            ,NYSE
AMCX,Amc Networks Inc                              ,NYSE
AMD,Advanced Micro Devices                        ,NYSE
AMDA,Amedica Corp                                  ,NYSE
AMED,Amedisys Inc                                  ,NYSE
AMGN,Amgen Inc                                     ,NYSE
AMIC,American Independence                         ,NYSE
AMKR,Amkor Technology                              ,NYSE
AMNB,American National Bankshares                  ,NYSE
AMOT,Allied Motion Technologies                    ,NYSE
AMOV,America Movil S.A.B. De C.V.                  ,NYSE
AMPH,Amphastar Pharmaceuticals Inc.                ,NYSE
AMRB,American River Bankshares                     ,NYSE
AMRI,Albany Molecular Research                     ,NYSE
AMRK,A-Mark Precious Metals Inc.                   ,NYSE
AMRN,Amarin Corporation Plc                        ,NYSE
AMRS,Amyris Inc                                    ,NYSE
AMSC,American Superconductor Corp                  ,NYSE
AMSF,Amerisafe Inc                                 ,NYSE
AMSG,Amsurg Corp                                   ,NYSE
AMSGP,Amsurg Corp                                   ,NYSE
AMSWA,American Software                             ,NYSE
AMTX,Aemetis Inc                                   ,NYSE
AMWD,American Woodmark Corp                        ,NYSE
AMZN,Amazon.Com Inc                                ,NYSE
ANAC,Anacor Pharmaceuticals                        ,NYSE
ANAD,Anadigics Inc                                 ,NYSE
ANAT,American National Insurance                   ,NYSE
ANCB,Anchor Bancorp                                ,NYSE
ANCI,American Caresource Holdings                  ,NYSE
ANCX,Access National Corp                          ,NYSE
ANDE,The Andersons                                 ,NYSE
ANGI,Angie's List Inc                              ,NYSE
ANGO,Angiodynamics                                 ,NYSE
ANIK,Anika Therapeutics Inc                        ,NYSE
ANIP,ANI Pharmaceuticals Inc                       ,NYSE
ANSS,Ansys Inc                                     ,NYSE
ANTH,Anthera Pharmaceuticals                       ,NYSE
ANY,Sphere 3D Corp                                ,NYSE
AOSL,Alpha and Omega Semiconductor                 ,NYSE
APDN,Applied Dna Sciences                          ,NYSE
APDNW,Applied Dna Sciences Inc                      ,NYSE
APEI,American Public Education                     ,NYSE
APOG,Apogee Enterprises                            ,NYSE
APOL,Apollo Group                                  ,NYSE
APPS,Digital Turbine Inc.                          ,NYSE
APPY,Aspenbio Pharma                               ,NYSE
APRI,Apricus Biosciences Inc                       ,NYSE
APTO,Aptose Biosciences Inc.                       ,NYSE
APWC,Asia Pac Wire &Cable                          ,NYSE
AQXP,Aquinox Pharmaceuticals Inc.                  ,NYSE
ARAY,Accuray Incorporated                          ,NYSE
ARCB,Arcbest Corp.                                 ,NYSE
ARCC,Ares Capital Corp                             ,NYSE
ARCI,Appliance Recycling Centers                   ,NYSE
ARCP,American Realty Capital Propert               ,NYSE
ARCPP,American Realty Capital Propert               ,NYSE
ARCW,Arc Group Worldwide Inc.                      ,NYSE
ARDM,Aradigm Corp                                  ,NYSE
ARDX,Ardelyx Inc.                                  ,NYSE
AREX,Approach Resources Inc                        ,NYSE
ARGS,Argos Therapeutics Inc                        ,NYSE
ARIA,Ariad Pharmaceuticals                         ,NYSE
ARII,American Railcar Industries                   ,NYSE
ARIS,Ari Network Svcs                              ,NYSE
ARKR,Ark Restaurants                               ,NYSE
ARLP,Alliance Resource Partners L.P.               ,NYSE
ARMH,Arm Holdings Plc                              ,NYSE
ARNA,Arena Pharmaceuticals                         ,NYSE
AROW,Arrow Financial Corp                          ,NYSE
ARQL,Arqule Inc                                    ,NYSE
ARRS,Arris Group Inc                               ,NYSE
ARRY,Array Biopharma Inc                           ,NYSE
ARTNA,Artesian Resources Corp                       ,NYSE
ARTW,Art's Way Manufacturing Co.                   ,NYSE
ARTX,Arotech Corp                                  ,NYSE
ARUN,Aruba Networks                                ,NYSE
ARWR,Arrowhead Research Corp                       ,NYSE
ASBB,Asb Bancorp Inc                               ,NYSE
ASBI,Ameriana Bancorp                              ,NYSE
ASCMA,Ascent Media Corp                             ,NYSE
ASEI,American Science and Engineering              ,NYSE
ASFI,Asta Funding                                  ,NYSE
ASMB,Assembly Biosciences Inc.                     ,NYSE
ASMI,Asm International N.V.                        ,NYSE
ASML,Asml Holding N.V.                             ,NYSE
ASNA,Ascena Retail Group                           ,NYSE
ASND,Ascendis Pharma A/S                           ,NYSE
ASPS,Altisource Portfolio Solutions S.A.           ,NYSE
ASPX,Auspex Pharmaceuticals Inc.                   ,NYSE
ASRV,Ameriserv Financial Inc                       ,NYSE
ASRVP,Ameriserv Financial Inc                       ,NYSE
ASTC,Astrotech Corp                                ,NYSE
ASTE,Astec Industries                              ,NYSE
ASTI,Ascent Solar Technologies                     ,NYSE
ASUR,Asure Software Inc                            ,NYSE
ASYS,Amtech Systems                                ,NYSE
ATAI,Ata Inc                                       ,NYSE
ATAX,America First Tax Exempt L.P.                 ,NYSE
ATEC,Alphatec Holdings                             ,NYSE
ATHN,Athenahealth                                  ,NYSE
ATHX,Athersys                                      ,NYSE
ATLC,Atlanticus Holdings Corp                      ,NYSE
ATLO,Ames National Corp                            ,NYSE
ATML,Atmel Corp                                    ,NYSE
ATNI,Atlantic Tele-Network                         ,NYSE
ATNY,Api Technologies                              ,NYSE
ATOS,Atossa Genetics Inc                           ,NYSE
ATRA,Atara Biotherapeutics Inc.                    ,NYSE
ATRC,Atricure                                      ,NYSE
ATRI,Atrion Corp                                   ,NYSE
ATRM,Aetrium Inc                                   ,NYSE
ATRO,Astronics Corp                                ,NYSE
ATRS,Antares Pharma                                ,NYSE
ATSG,Air Transport Services Group Inc              ,NYSE
ATTU,Attunity Ltd                                  ,NYSE
ATVI,Activision Blizzard Inc                       ,NYSE
AUBN,Auburn National Bancorporation                ,NYSE
AUDC,Audiocodes Ltd                                ,NYSE
AUMA,Ar Capital Acquisition Corp.                  ,NYSE
AUMAU,Ar Capital Acquisition                        ,NYSE
AUMAW,Ar Capital Acquisition Corp.                  ,NYSE
AUPH,Aurinia Pharmaceuticals Inc.                  ,NYSE
AVAV,Aerovironment                                 ,NYSE
AVEO,Aveo Pharmaceuticals                          ,NYSE
AVGO,Avago Technologies                            ,NYSE
AVGR,Avinger Inc.                                  ,NYSE
AVHI,Av Homes Inc                                  ,NYSE
AVID,Avid Technology                               ,NYSE
AVNU,Avenue Financial Holdings Inc.                ,NYSE
AVNW,Aviat Networks                                ,NYSE
AWAY,Homeaway Inc                                  ,NYSE
AWRE,Aware Inc                                     ,NYSE
AXAS,Abraxas Petroleum Corp                        ,NYSE
AXDX,Accelerate Diagnostics Inc                    ,NYSE
AXGN,Axogen Inc.                                   ,NYSE
AXJS,AC Asia Ex Japan Smallcap MSCI Ishares        ,NYSE
AXPW,Axion Power Intl Inc                          ,NYSE
AXPWW,Axion Power International Inc.                ,NYSE
AXTI,Axt Inc                                       ,NYSE
AZPN,Aspen Technology                              ,NYSE
BABY,Natus Medical Inc                             ,NYSE
BAGR,Diversified Restaurant Holdings Inc           ,NYSE
BAMM,Books-A-Million                               ,NYSE
BANF,Bancfirst Corp                                ,NYSE
BANFP,Bancfirst Corp                                ,NYSE
BANR,Banner Corp                                   ,NYSE
BANX,Stonecastle Financial Corporati               ,NYSE
BASI,Bioanalytical Systems                         ,NYSE
BBBY,Bed Bath & Beyond Inc                         ,NYSE
BBC,Bioshares Biotechnology Clinica               ,NYSE
BBCN,Bbcn Bancorp Inc                              ,NYSE
BBEP,Breitburn Energy Partners L.P.                ,NYSE
BBEPP,Breitburn Energy Partners L.P.                ,NYSE
BBGI,Beasley Broadcast Group                       ,NYSE
BBLU,Blue Earth Incorporated                       ,NYSE
BBNK,Bridge Capital Holdings                       ,NYSE
BBOX,Black Box Corp                                ,NYSE
BBP,Bioshares Biotechnology Product               ,NYSE
BBRG,Bravo Brio Restaurant Group                   ,NYSE
BBRY,Blackberry Limited                            ,NYSE
BBSI,Barrett Business Services                     ,NYSE
BCBP,Bcb Bancorp Inc. [Nj]                         ,NYSE
BCLI,Brainstorm Cell Ther                          ,NYSE
BCOM,B Communications Ltd                          ,NYSE
BCOR,Blucora Inc                                   ,NYSE
BCOV,Brightcove Inc                                ,NYSE
BCPC,Balchem Corp                                  ,NYSE
BCRX,Biocryst Pharmaceuticals                      ,NYSE
BDBD,Boulder Brands Inc                            ,NYSE
BDCV,Bdca Venture Inc.                             ,NYSE
BDE,Black Diamond                                 ,NYSE
BDGE,Bridge Bancorp                                ,NYSE
BDMS,Birner Dental Management Services             ,NYSE
BDSI,Biodelivery Sciences International            ,NYSE
BEAT,Cardionet                                     ,NYSE
BEAV,BE Aerospace                                  ,NYSE
BEBE,Bebe Stores                                   ,NYSE
BECN,Beacon Roofing Supply                         ,NYSE
BELFA,Bel Fuse Inc                                  ,NYSE
BELFB,Bel Fuse Inc                                  ,NYSE
BFIN,Bankfinancial Corp                            ,NYSE
BGCP,Bgc Partners                                  ,NYSE
BGFV,Big 5 Sporting Goods Corp                     ,NYSE
BGMD,Bg Medicine                                   ,NYSE
BHAC,Barington/Hilco Acquisition Corp.             ,NYSE
BHACU,Barington/Hilco Acquisition Cor               ,NYSE
BHBK,Blue Hills Bancorp Inc.                       ,NYSE
BIB,Ultra Nasdaq Biotechnology Proshares          ,NYSE
BICK,BICK Index First Trust                        ,NYSE
BIDU,Baidu Inc                                     ,NYSE
BIIB,Biogen Idec Inc                               ,NYSE
BIND,Bind Therapeutics Inc                         ,NYSE
BIOC,Biocept Inc                                   ,NYSE
BIOD,Biodel Inc                                    ,NYSE
BIOL,Biolase Technology                            ,NYSE
BIOS,Bioscrip Inc                                  ,NYSE
BIS,Ultrashort Nasdaq Biotech Proshares           ,NYSE
BJRI,Bj's Restaurants                              ,NYSE
BKCC,Blackrock Kelso Capital Corp                  ,NYSE
BKEP,Blueknight Energy                             ,NYSE
BKEPP,Blueknight Energy Partners L.P.               ,NYSE
BKMU,Bank Mutual Corp                              ,NYSE
BKSC,Bank of South Carolina                        ,NYSE
BKYF,The Bank of Kentucky Financial                ,NYSE
BLBD,Blue Bird Corp.                               ,NYSE
BLBDW,Blue Bird Corp.                               ,NYSE
BLCM,Bellicum Pharmaceuticals Inc.                 ,NYSE
BLDP,Ballard Power Systems                         ,NYSE
BLDR,Builders Firstsource                          ,NYSE
BLFS,Biolife Solutions                             ,NYSE
BLIN,Bridgeline Digital                            ,NYSE
BLKB,Blackbaud Inc                                 ,NYSE
BLMN,Bloomin' Brands Inc                           ,NYSE
BLMT,Bsb Bancorp Inc                               ,NYSE
BLPH,Bellerophon Therapeutics Llc                  ,NYSE
BLRX,Biolinerx Ltd                                 ,NYSE
BLUE,Bluebird Bio Inc                              ,NYSE
BLVD,Belvedere Resources                           ,NYSE
BLVDU,Boulevard Acquisition Corp.                   ,NYSE
BLVDW,Boulevard Acquisition Corp.                   ,NYSE
BMRC,Bank of Marin Bancorp                         ,NYSE
BMRN,Biomarin Pharmaceutical Inc                   ,NYSE
BMTC,Bryn Mawr Bank Corp                           ,NYSE
BNCL,Beneficial Mutual Bancorp                     ,NYSE
BNCN,BNC Bancorp                                   ,NYSE
BNDX,Vanguard Total International Bo               ,NYSE
BNFT,Benefitfocus Inc                              ,NYSE
BNSO,Bonso Electronics International               ,NYSE
BOBE,Bob Evans Farms                               ,NYSE
BOCH,Bank of Commerce Holdings [Ca]                ,NYSE
BOFI,Bofi Holding                                  ,NYSE
BOKF,Bok Financial Corp                            ,NYSE
BONA,Bona Film Group Limited                       ,NYSE
BONT,The Bon-Ton Stores                            ,NYSE
BOOM,Dynamic Materials Corp                        ,NYSE
BOSC,B.O.S. Better Online Solutions                ,NYSE
BOTA,Biota Pharmaceuticals Inc                     ,NYSE
BOTJ,Bank of The Jame Fnl                          ,NYSE
BPFH,Boston Private Financial Holdings             ,NYSE
BPFHP,Boston Private Financial Holdings Inc. Dep.   ,NYSE
BPFHW,Boston Private Financial Holdings             ,NYSE
BPOP,Popular Inc                                   ,NYSE
BPOPM,Popular Inc                                   ,NYSE
BPOPN,Popular Inc                                   ,NYSE
BPTH,Bio-Path Holdings                             ,NYSE
BRCD,Brocade Communications Systems                ,NYSE
BRCM,Broadcom Corp                                 ,NYSE
BRDR,Borderfree Inc.                               ,NYSE
BREW,Craft Brewers Alliance Inc                    ,NYSE
BRID,Bridgford Foods Corp                          ,NYSE
BRKL,Brookline Bancorp                             ,NYSE
BRKR,Bruker Corp                                   ,NYSE
BRKS,Brooks Automation                             ,NYSE
BRLI,Bio-Reference Laboratories                    ,NYSE
BSET,Bassett Furniture Industries Inc              ,NYSE
BSF,Bear State Financial Inc.                     ,NYSE
BSFT,Broadsoft Inc                                 ,NYSE
BSPM,Biostar Pharmaceuticals                       ,NYSE
BSQR,Bsquare Corp                                  ,NYSE
BSRR,Sierra Bancorp                                ,NYSE
BSTC,Biospecifics Technologies Corp                ,NYSE
BUR,Burcon Nutrascience                           ,NYSE
BUSE,First Busey Corp                              ,NYSE
BV,Bazaarvoice Inc                               ,NYSE
BVA,Cordia Bancorp Inc                            ,NYSE
BVSN,Broadvision                                   ,NYSE
BWEN,Broadwind Energy                              ,NYSE
BWFG,Bankwell Financial Group Inc.                 ,NYSE
BWINA,Baldwin & Lyons                               ,NYSE
BWINB,Baldwin & Lyons                               ,NYSE
BWLD,Buffalo Wild Wings                            ,NYSE
BYBK,Bay Bancorp Inc                               ,NYSE
BYFC,Broadway Financial Corp                       ,NYSE
BYLK,Baylake Corp                                  ,NYSE
CA,CA Inc                                        ,NYSE
CAAS,China Automotive Systems                      ,NYSE
CAC,Camden National Corp                          ,NYSE
CACB,Cascade Bancorp                               ,NYSE
CACC,Credit Acceptance Corp                        ,NYSE
CACQ,Caesars Acquisition Company                   ,NYSE
CADC,China Advanced Construction                   ,NYSE
CADT,Dt Asia Investments Limited                   ,NYSE
CADTR,Dt Asia Investments Limited                   ,NYSE
CADTW,Dt Asia Investments Limited                   ,NYSE
CAKE,The Cheesecake Factory Inc                    ,NYSE
CALA,Calithera Biosciences Inc.                    ,NYSE
CALD,Callidus Software                             ,NYSE
CALI,China Auto Logistics Inc                      ,NYSE
CALL,Vocaltec Communications Ltd                   ,NYSE
CALM,Cal-Maine Foods                               ,NYSE
CAMB,Cambridge Capital Acquisition C               ,NYSE
CAMBU,Cambridge Capital Acquisition                 ,NYSE
CAMBW,Cambridge Capital Acquisition C               ,NYSE
CAMP,Calamp Corp                                   ,NYSE
CAMT,Camtek Ltd                                    ,NYSE
CAPN,Capnia Inc.                                   ,NYSE
CAPNW,Capnia Inc.                                   ,NYSE
CAPR,Capricor Therapeutics Inc.                    ,NYSE
CAR,Avis Budget Group                             ,NYSE
CARA,Cara Therapeutics Inc.                        ,NYSE
CARB,Carbonite Inc                                 ,NYSE
CARO,Carolina Financial                            ,NYSE
CART,Carolina Trust Bank                           ,NYSE
CARV,Carver Bancorp                                ,NYSE
CARZ,Nasdaq Global Auto Index First Trust          ,NYSE
CASH,Meta Financial Group                          ,NYSE
CASI,Casi Pharmaceuticals Inc.                     ,NYSE
CASM,Cas Medical Systems                           ,NYSE
CASS,Cass Information Systems Inc                  ,NYSE
CASY,Caseys General Stores                         ,NYSE
CATM,Cardtronics Inc                               ,NYSE
CATY,Cathay General Bancorp                        ,NYSE
CATYW,Cathay General Bancorp                        ,NYSE
CAVM,Cavium Inc                                    ,NYSE
CBAK,China Bak Battery                             ,NYSE
CBAN,Colony Bankcorp                               ,NYSE
CBAY,Cymabay Therapeutics                          ,NYSE
CBF,Capital Bank Financial Corp                   ,NYSE
CBFV,Cb Financial Services Inc                     ,NYSE
CBIN,Community Bank Shares of Indiana              ,NYSE
CBLI,Cleveland Biolabs                             ,NYSE
CBMG,Cellular Biomedicine Group Inc.               ,NYSE
CBMX,Combimatrix Corp                              ,NYSE
CBNJ,Cape Bancorp                                  ,NYSE
CBNK,Chicopee Bancorp                              ,NYSE
CBOE,CBOE Holdings                                 ,NYSE
CBPO,China Biologic Products                       ,NYSE
CBRL,Cracker Barrel Old Country Store              ,NYSE
CBRX,Columbia Laboratories                         ,NYSE
CBSH,Commerce Bancshares                           ,NYSE
CBSHP,Commerce Bancshares Inc.                      ,NYSE
CBYL,Carbylan Therapeutics Inc.                    ,NYSE
CCBG,Capital City Bank Group                       ,NYSE
CCCL,China Ceramics Co. Ltd.                       ,NYSE
CCIH,Chinacache International                      ,NYSE
CCLP,Csi Compressco LP                             ,NYSE
CCMP,Cabot Microelectronics Corp                   ,NYSE
CCNE,Cnb Financial Corp                            ,NYSE
CCOI,Cogent Communications Group                   ,NYSE
CCRN,Cross Country Healthcare                      ,NYSE
CCUR,Concurrent Computer Corp                      ,NYSE
CCXI,Chemocentryx Inc                              ,NYSE
CDC,Compass Emp US Eqincome 100 Enh               ,NYSE
CDK,Cdk Global Inc.                               ,NYSE
CDNA,Caredx Inc.                                   ,NYSE
CDNS,Cadence Design Systems                        ,NYSE
CDTI,Clean Diesel Technologies                     ,NYSE
CDW,CDW Corp                                      ,NYSE
CDXS,Codexis Inc                                   ,NYSE
CDZI,Cadiz Inc                                     ,NYSE
CECE,Ceco Environmental                            ,NYSE
CECO,Career Education Corp                         ,NYSE
CELG,Celgene Corp                                  ,NYSE
CELGZ,Celgene Corp                                  ,NYSE
CEMI,Chembio Diagnostics                           ,NYSE
CEMP,Cempra Inc                                    ,NYSE
CENT,Central Garden & Pet Company                  ,NYSE
CENTA,Central Garden & Pet Company                  ,NYSE
CENX,Century Aluminum Company                      ,NYSE
CERE,Ceres Inc                                     ,NYSE
CERN,Cerner Corp                                   ,NYSE
CERS,Cerus Corp                                    ,NYSE
CERU,Cerulean Pharma Inc.                          ,NYSE
CETV,Central European Media Enterprises            ,NYSE
CEVA,Ceva Inc                                      ,NYSE
CFA,Compass Emp U.S. 500 Volatility               ,NYSE
CFBK,Central Federal Corp                          ,NYSE
CFFI,C&F Financial Corp                            ,NYSE
CFFN,Capitol Federal Financial                     ,NYSE
CFGE,Calamos Focus Growth ETF                      ,NYSE
CFNB,California First National Bancorp             ,NYSE
CFNL,Cardinal Financial Corp                       ,NYSE
CFO,Compass Emp U.S. 500 Enhanced V               ,NYSE
CFRX,Contrafect Corporation                        ,NYSE
CFRXW,Contrafect Corporation                        ,NYSE
CFRXZ,Contrafect Corporation                        ,NYSE
CG,The Carlyle Group L.P.                        ,NYSE
CGEN,Compugen Ltd                                  ,NYSE
CGIX,Cancer Genetics Inc                           ,NYSE
CGNT,Cogentix Medical Inc.                         ,NYSE
CGNX,Cognex Corp                                   ,NYSE
CGO,Calamos Global Total Return Fund              ,NYSE
CHCI,Comstock Homebuilding Companies               ,NYSE
CHCO,City Holding Company                          ,NYSE
CHDN,Churchill Downs Inc                           ,NYSE
CHEF,The Chefs' Warehouse Inc                      ,NYSE
CHEK,Check-Cap Ltd.                                ,NYSE
CHEKU,Check-Cap Ltd                                 ,NYSE
CHEV,Cheviot Financial Corp                        ,NYSE
CHFC,Chemical Financial Corp                       ,NYSE
CHFN,Charter Financial                             ,NYSE
CHI,Calamos Convertible Opportunities             ,NYSE
CHKE,Cherokee Inc                                  ,NYSE
CHKP,Check Point Software Technologies Ltd         ,NYSE
CHLN,China Housing & Land Development              ,NYSE
CHMG,Chemung Financial Corp                        ,NYSE
CHNR,China Natural Resources                       ,NYSE
CHOP,China Gerui Advanced Materials                ,NYSE
CHRS,Coherus Biosciences Inc.                      ,NYSE
CHRW,C.H. Robinson Worldwide                       ,NYSE
CHSCL,CHS Inc                                       ,NYSE
CHSCM,CHS Inc                                       ,NYSE
CHSCN,CHS Inc                                       ,NYSE
CHSCO,CHS Inc Cl B Pfd                              ,NYSE
CHSCP,CHS Inc                                       ,NYSE
CHTR,Charter Communications                        ,NYSE
CHUY,Chuy's Holding Inc                            ,NYSE
CHW,Calamos Global Dynamic                        ,NYSE
CHXF,Wisdomtree China Dividend Ex-Fi               ,NYSE
CHY,Calamos Convertible and High                  ,NYSE
CIDM,Cinedigm Digital Cinema Corp                  ,NYSE
CIFC,Cifc Corp                                     ,NYSE
CINF,Cincinnati Financial Corp                     ,NYSE
CISAW,Cis Acquisition Ltd                           ,NYSE
CISG,Cninsure Inc                                  ,NYSE
CIZ,Compass Emp International 500 E               ,NYSE
CIZN,Citizens Holding Company                      ,NYSE
CJJD,China Jo-Jo Drugstores                        ,NYSE
CKEC,Carmike Cinemas                               ,NYSE
CKSW,Clicksoftware Technologies Ltd                ,NYSE
CLAC,Capitol Acquisition Corp. II                  ,NYSE
CLACU,Capitol Acquisition Corp. II                  ,NYSE
CLACW,Capitol Acquisition Corp. II                  ,NYSE
CLBH,Carolina Bank Holdings Inc                    ,NYSE
CLCT,Collectors Universe                           ,NYSE
CLDN,Celladon Corp                                 ,NYSE
CLDX,Celldex Therapeutics Inc                      ,NYSE
CLFD,Clearfield                                    ,NYSE
CLIR,Clearsign Combustion Corporatio               ,NYSE
CLLS,Cellectis S.A.                                ,NYSE
CLMS,Calamos Asset Management                      ,NYSE
CLMT,Calumet Specialty Products                    ,NYSE
CLNE,Clean Energy Fuels                            ,NYSE
CLNT,Cleantech Solutions International Inc         ,NYSE
CLRB,Cellectar Biosciences Inc.                    ,NYSE
CLRBW,Cellectar Biosciences Inc.                    ,NYSE
CLRO,Clearone Communications Inc                   ,NYSE
CLRX,Collabrx Inc.                                 ,NYSE
CLSN,Celsion Corp                                  ,NYSE
CLTX,Celsus Therapeutics Plc.                      ,NYSE
CLUB,Town Sports International Holdings            ,NYSE
CLVS,Clovis Oncology Inc                           ,NYSE
